Category,Exchange,Initial Margin (1000s),Available Net Option Value
***House,CME,-33732,5297
***House,ECC,-480,-79
***House,JCCH,-45478,0
***House,LCH,-86619,4058
***House,MATIF,-1375,8
***House,MGE,-659,0
***House,NODAL,3560,0
***House,SGX,-561,8
AL,LCH,-148,0
BiofuelsJH,CME,-5569,244
BiofuelsJH,LCH,-3975,0
BiofuelsJT,CME,-560,0
BiofuelsJT,LCH,-9075,-185
BiofuelsJT,NODAL,528.0715,0
CanCr MR,CME,-269,0
CanCr MR,LCH,-904,0
DistShipTN,CME,-1151,0
DistShipTN,LCH,-6810,0
DistShipTN,NFX,-2081,0
EQT AB,CME,-705,0
EQT AB,LCH,825,2543
GVAAgs RK,CME,-1557,165
GVAAgs RK,MATIF,-556,8
GVAAgs RK,MGE,-392,0
GVAConcsPL,LCH,-556,0
GVAProp BJ,CME,-3545,0
GVAProp BJ,LCH,-4221,0
GVAProp MB,CME,-967,0
GVAProp MB,LCH,-901,0
ListedPool,LCH,-190,0
LnAgs MH,CME,-1477,1585
LnAgs MH,MATIF,-820,0
LnAgs MH,MGE,-293,0
LnCrSBJPAG,LCH,-18553,0
LnDisCore,CME,-2125,0
LnDisCore,LCH,-18758,0
LnDisCore2,LCH,-1693,0
LnDryFr ZX,NFX,-2249,0
LnDryFr ZX,SGX,-245,0
LnECTL JV,LCH,983,1334
LnEmissBM,LCH,-2029,0
LnFO GB,LCH,-134,0
LnFrt JM1,CME,-1480,0
LnFrt JM1,LCH,-3203,0
LnFrt JM1,NFX,0,0
LnFrt JM2,CME,-608,0
LnFrt JM2,LCH,-1310,0
LnFrt JM2,NFX,0,0
LnGas CMLS,CME,-2514,0
LnGas CMLS,LCH,-4009,0
LnGas Phys,CME,-861,0
LnGas Phys,LCH,-8768,0
LnGhtPhys,LCH,-8462,0
LnMtl AMG,CME,-1680,53
LnMtl AMG,LCH,-4109,9
LnMtl MN,CME,-143,0
LnMtl MN,LCH,-345,2
LnMtlAlPhs,LCH,-22257,0
LnMtlNiPhs,LCH,-661,0
LnMtlSwaps,CME,-1053,0
LnPropHLEA,NFX,-285,0
LnPropHLEA,SGX,-430,-89
Metallia,CME,-436,0
MGT2 SMH,CME,-2176,0
MGT2 SMH,LCH,-3363,211
NYBunker,LCH,-19,0
NYCr CC,CME,-5370,0
NYFO KS,CME,-355,0
NYFO KS,LCH,-540,0
NYShipMH,LCH,-708,0
PR 7 GM,CME,-788,347
PR 7 GM,LCH,-2696,0
SngCr ET,LCH,-2724,0
SngCr MS,CME,-200,0
SngCr MS,LCH,-1603,0
SngDis LH,LCH,-3808,0
SngDis MK,LCH,-1084,0
SngMgt 2,JCCH,-45478,0
SngMgt 2,LCH,-30964,0
SngMgt AA,LCH,-785,0
Steel KSSA,CME,-1383,0
Underhedge,NFX,-117,0
USCr JG,CME,-840,1
USCr JG,LCH,-82,0
USCr JG2,LCH,-9539,0
USCr MP,CME,-340,0
USCr MP,LCH,-440,0
USCr MR,CME,-2647,0
USCr MR,LCH,-581,0
USCrStg MR,CME,-2685,0
USGas CS,CME,5,30
USMetalsDR,CME,-1,48
USMetalsDR,LCH,-3,6
US-NG-Active Commodity Index-AKTS,CME,-282,0
US-NG-Basis-AH,CME,-136,0
US-NG-FK,CME,0,0
US-NG-Futures-AKTS,CME,431,1123
US-NG-JPTM,LCH,-117,0
USNgl SR,CME,-392,0
USNgl SR,LCH,-572,0
US-NG-MC,CME,-79,0
US-NG-MC,LCH,-202,0
US-NG-PM,LCH,-41,0
US-NG-PS,LCH,-2,0
US-NG-RM,LCH,-534,0
USProd JB,CME,-123,0
USProp BC,CME,-302,0
USProp BC,LCH,-326,0
USProp DW,CME,-1126,0
USProp DW,LCH,-1189,0
USProp KB,CME,-581,1452
USProp KB,ECC,-480,-79
USProp KB,LCH,-1268,-266
USProp KB,SGX,-548,97
USProp KB2,CME,-62,250
USProp MB,CME,-270,0
USProp MB,LCH,-1516,0
USProp PJ,CME,-140,0
USProp PJ,LCH,-1363,0
US-PWR-AEPOH-Load-BasisFTR,NODAL,9.8472,0
US-PWR-AEPOH-Load-Hub,LCH,-737,0
US-PWR-BGS-Load-BasisFTR,LCH,-464,0
US-PWR-BGS-Load-BasisFTR,NODAL,245.8478,0
US-PWR-BGS-Load-Hub,LCH,-3725,0
US-PWR-BGS-Load-Hub,NODAL,2401.443,0
US-PWR-BGS-Load-RECs,LCH,-926,0
US-PWR-BGS-Load-RECs,NODAL,70.9599,0
US-PWR-DAY-Load-Hub,NODAL,137.6397,0
US-PWR-DPL-Load-Hub,LCH,-415,0
US-PWR-DUKEOH-Load-BasisFTR,NODAL,25.3077,0
US-PWR-DUKEOH-Load-Hub,LCH,-271,0
US-PWR-DUKEOH-Load-Hub,NODAL,452.6302,0
US-PWR-ISONE-RECs,NODAL,137.0677,0
US-PWR-Load-Options,LCH,243,275
US-PWR-MD-Load-Hub,LCH,-983,0
US-PWR-MD-Load-RECs,LCH,-149,0
US-PWR-PJM-Fin,LCH,-341,0
US-PWR-PJM-Fin,NODAL,124.7224,0
US-PWR-PJM-FTR,LCH,-49,0
US-PWR-PJM-FTR,NODAL,64.6679,0
US-PWR-PJM-FTRBLT,NODAL,518.2111,0
US-PWR-PJM-Options-PG,LCH,115,130
US-PWR-PJM-Phys,LCH,-42,0
VLCC Hedge,LCH,-2400,0
